Site,oos_begin,oos_end
CRC,2022-01-01,2022-03-10 21:00:00
OWC,2022-01-01,2022-06-21 21:00:00
PTR,2022-01-01,2022-08-02 21:00:00
OWC,2023-01-01,2023-04-11 21:00:00
CRC,2023-01-01,2023-04-14 21:00:00
PTR,2023-01-01,2023-06-19 21:00:00
OWC,2024-01-01,2024-03-29 21:00:00
CRC,2024-01-01,2024-04-30 21:00:00
CRC,2025-01-01,2025-06-23 21:00:00
MSM,2024-11-06,2024-11-21 12:00:00
MSM,2025-03-11,2025-03-13 21:00:00
MSM,2025-05-13,2025-05-15 21:00:00
MSM,2025-06-30,2025-07-01 21:00:00
MSM,2025-09-08,2025-09-11 21:00:00
MSM,2025-11-10,2025-11-13 21:00:00
CRC,2022-10-21 03:00:00,2022-12-31
OWC,2022-11-11 03:00:00,2022-12-31
PTR,2022-10-21 03:00:00,2022-12-31
OWC,2023-11-17 03:00:00,2023-12-31
CRC,2023-11-17 03:00:00,2023-12-31
PTR,2023-12-06 03:00:00,2023-12-31
CRC,2022-07-19 03:00:00,2022-07-19 21:00:00
OWC,2022-10-05 03:00:00,2022-10-05 21:00:00
PTR,2022-10-19 03:00:00,2022-10-19 21:00:00
CRC,2023-07-10 03:00:00,2023-07-10 21:00:00
PTR,2023-11-25 03:00:00,2023-11-25 21:00:00
OWC,2024-04-05 03:00:00,2024-04-05 21:00:00
